Query_ID,Student_Query,Priority
3898,Canteen food quality feedback,Low
5629,Sports event registration query,Low
1757,Emergency leave approval required,High
2347,Request for bonafide certificate,Medium
2997,Assignment deadline extension request,Low
1596,Exam portal is not working,High
5967,Emergency leave approval required,High
3253,Result not visible on portal,High
830,Club membership request,Low
5865,Exam portal is not working,High
1859,WiFi slow in library,Low
439,Assignment deadline extension request,Low
628,Result not visible on portal,High
5979,Emergency leave approval required,High
2880,Club membership request,Low
926,General timetable inquiry,Low
4122,Club membership request,Low
4875,Internship approval request,Medium
5737,Emergency leave approval required,High
2866,Scholarship amount not credited,High
5952,Admit card not generated for upcoming exam,High
1174,Assignment deadline extension request,Low
3361,Internship approval request,Medium
3198,Exam portal is not working,High
945,Assignment deadline extension request,Low
4770,Request for bonafide certificate,Medium
2289,Internship approval request,Medium
13,Assignment deadline extension request,Low
1118,Fee payment failed but amount deducted,High
4366,Internship approval request,Medium
3656,Result not visible on portal,High
5696,Sports event registration query,Low
643,Elective subject change request,Medium
2590,Library access issue,Medium
4708,Elective subject change request,Medium
2679,Club membership request,Low
4293,WiFi slow in library,Low
5080,Elective subject change request,Medium
5488,Internship approval request,Medium
2923,Sports event registration query,Low
2536,Sports event registration query,Low
4766,Admit card not generated for upcoming exam,High
2265,Scholarship amount not credited,High
654,Transcript request status,Medium
430,Sports event registration query,Low
3751,Result not visible on portal,High
3316,Internship approval request,Medium
2518,Scholarship amount not credited,High
4012,Library access issue,Medium
3163,Elective subject change request,Medium
3606,General timetable inquiry,Low
839,Request for bonafide certificate,Medium
1088,Result not visible on portal,High
1729,Admit card not generated for upcoming exam,High
5808,Fee payment failed but amount deducted,High
1320,Hostel electricity issue urgent,High
1331,General timetable inquiry,Low
4155,General timetable inquiry,Low
857,Fee payment failed but amount deducted,High
1420,General timetable inquiry,Low
2516,ID card reissue process inquiry,Medium
2300,Admit card not generated for upcoming exam,High
3537,Canteen food quality feedback,Low
1609,Club membership request,Low
5199,ID card reissue process inquiry,Medium
694,General timetable inquiry,Low
4141,ID card reissue process inquiry,Medium
2667,Exam portal is not working,High
189,Hostel electricity issue urgent,High
288,Exam portal is not working,High
3411,WiFi slow in library,Low
5537,Club membership request,Low
4206,Elective subject change request,Medium
3967,Canteen food quality feedback,Low
3772,Library access issue,Medium
3216,Hostel electricity issue urgent,High
2334,Request for bonafide certificate,Medium
5982,Transcript request status,Medium
4095,Assignment deadline extension request,Low
2145,Fee payment failed but amount deducted,High
2981,WiFi slow in library,Low
211,Internship approval request,Medium
5608,Internship approval request,Medium
4997,Exam portal is not working,High
3107,ID card reissue process inquiry,Medium
74,Transcript request status,Medium
5766,General timetable inquiry,Low
2829,Club membership request,Low
4783,WiFi slow in library,Low
5945,Admit card not generated for upcoming exam,High
4247,Club membership request,Low
2822,Internship approval request,Medium
3306,Emergency leave approval required,High
5595,General timetable inquiry,Low
2146,Canteen food quality feedback,Low
1232,Result not visible on portal,High
5353,ID card reissue process inquiry,Medium
3341,Exam portal is not working,High
5867,Admit card not generated for upcoming exam,High
4392,General timetable inquiry,Low
114,Club membership request,Low
5087,Admit card not generated for upcoming exam,High
4260,General timetable inquiry,Low
5442,Admit card not generated for upcoming exam,High
3196,Internship approval request,Medium
2457,Sports event registration query,Low
2949,Library access issue,Medium
1840,Admit card not generated for upcoming exam,High
1963,Internship approval request,Medium
1893,Fee payment failed but amount deducted,High
1826,WiFi slow in library,Low
4340,Elective subject change request,Medium
4447,Internship approval request,Medium
3459,Transcript request status,Medium
3536,Admit card not generated for upcoming exam,High
253,Transcript request status,Medium
351,Sports event registration query,Low
2759,Sports event registration query,Low
4553,Elective subject change request,Medium
458,Result not visible on portal,High
5845,Hostel electricity issue urgent,High
480,Club membership request,Low
1115,Elective subject change request,Medium
799,Hostel electricity issue urgent,High
4222,Emergency leave approval required,High
2674,Library access issue,Medium
3096,Scholarship amount not credited,High
27,Sports event registration query,Low
3076,General timetable inquiry,Low
2751,Sports event registration query,Low
3271,General timetable inquiry,Low
1748,Request for bonafide certificate,Medium
1288,Internship approval request,Medium
1282,Fee payment failed but amount deducted,High
4935,Fee payment failed but amount deducted,High
2620,Transcript request status,Medium
2064,Scholarship amount not credited,High
2192,Transcript request status,Medium
4650,Transcript request status,Medium
5155,WiFi slow in library,Low
4718,Club membership request,Low
1952,Hostel electricity issue urgent,High
4579,General timetable inquiry,Low
2918,Club membership request,Low
4936,Club membership request,Low
608,Result not visible on portal,High
4094,Admit card not generated for upcoming exam,High
4804,Exam portal is not working,High
3405,Club membership request,Low
5857,Elective subject change request,Medium
3942,WiFi slow in library,Low
4853,Transcript request status,Medium
5894,Sports event registration query,Low
4507,General timetable inquiry,Low
204,ID card reissue process inquiry,Medium
340,Canteen food quality feedback,Low
838,Fee payment failed but amount deducted,High
4360,Exam portal is not working,High
388,Emergency leave approval required,High
4153,Internship approval request,Medium
4823,Admit card not generated for upcoming exam,High
